,位置编号,1,2,3,4,index
0,1,1280,4550,4550,6300,0.0
1,1,1260,4550,4550,6300,4.0
2,1,1250,4550,4550,6300,8.0
3,1,1240,4550,4550,6300,12.0
4,1,1230,4550,4550,6300,24.0
5,1,1290,4550,4550,6310,28.0
6,1,1290,4550,4550,6300,32.0
7,1,1240,4550,4560,6310,40.0
8,1,1230,4550,4560,6310,44.0
9,1,1250,4550,4560,6300,56.0
10,1,1260,4550,4560,6300,60.0
11,1,1230,4550,4570,6300,64.0
12,1,1240,4550,4560,6300,68.0
13,1,1280,4550,4560,6300,72.0
14,1,1220,4550,4550,6300,96.0
15,1,1270,4550,4560,6300,104.0
16,1,1240,4550,4560,6290,116.0
17,1,1230,4550,4570,6290,124.0
18,1,1230,4550,4560,6300,136.0
19,1,1300,4550,4550,6300,144.0
20,1,1280,4540,4550,6300,164.0
21,1,1220,4540,4550,6300,168.0
22,1,1240,4540,4550,6310,176.0
23,1,1230,4540,4550,6310,180.0
24,1,1270,4540,4550,6310,184.0
25,1,1240,4540,4550,6300,188.0
26,1,1210,4540,4560,6300,196.0
27,1,1200,4550,4550,6300,208.0
28,1,1200,4550,4570,6300,220.0
29,1,1220,4550,4570,6300,224.0
30,1,1220,4550,4570,6310,228.0
31,1,1240,4550,4570,6300,232.0
32,1,1250,4550,4570,6300,236.0
33,1,1270,4540,4560,6300,240.0
34,1,1220,4540,4560,6300,248.0
35,1,1270,4550,4570,6300,256.0
36,1,1260,4550,4570,6290,260.0
37,1,1220,4550,4560,6290,264.0
38,1,1250,4550,4560,6290,268.0
39,1,1280,4550,4560,6290,272.0
40,1,1290,4550,4560,6290,276.0
41,1,1270,4550,4550,6290,288.0
42,1,1260,4550,4550,6290,292.0
43,1,1240,4550,4550,6290,296.0
44,1,1280,4550,4550,6290,300.0
45,1,1270,4550,4550,6300,312.0
46,1,1290,4550,4550,6290,316.0
47,1,1230,4550,4550,6290,320.0
48,1,1220,4540,4550,6290,324.0
49,1,1280,4540,4550,6290,328.0
50,1,1210,4540,4560,6280,344.0
51,1,1250,4540,4560,6290,348.0
52,1,1270,4550,4560,6290,352.0
53,1,1210,4550,4560,6290,360.0
54,1,1210,4550,4560,6300,368.0
55,1,1210,4550,4550,6300,404.0
56,1,1250,4540,4540,6300,424.0
57,1,1290,4540,4540,6310,428.0
58,1,1230,4540,4540,6310,432.0
59,1,1280,4540,4550,6310,440.0
60,1,1250,4540,4550,6310,448.0
61,1,1270,4540,4550,6300,452.0
62,1,1250,4560,4550,6300,468.0
63,1,1230,4550,4540,6290,472.0
64,1,1220,4550,4560,6300,492.0
65,1,1270,4540,4560,6310,508.0
66,1,1240,4540,4560,6310,512.0
67,1,1220,4540,4570,6310,516.0
68,1,1290,4540,4570,6290,520.0
74,1,1270,4550,4570,6290,556.0
75,1,1210,4550,4570,6290,560.0
76,1,1210,4550,4570,6300,564.0
77,1,1270,4550,4570,6310,576.0
79,1,1260,4550,4570,6300,584.0
80,1,1220,4550,4570,6290,592.0
