,位置编号,1,2,3,4,index
0,1,760,4550,4550,6300,0.0
1,1,770,4550,4550,6300,8.0
2,1,780,4550,4550,6300,12.0
3,1,770,4550,4550,6310,28.0
4,1,780,4550,4560,6310,40.0
5,1,770,4550,4560,6310,44.0
6,1,770,4550,4560,6300,56.0
7,1,780,4550,4560,6300,60.0
8,1,770,4550,4570,6300,64.0
9,1,760,4550,4560,6300,68.0
10,1,750,4550,4560,6300,104.0
11,1,760,4550,4560,6290,116.0
12,1,750,4550,4570,6290,124.0
13,1,760,4540,4550,6300,164.0
14,1,760,4540,4550,6310,176.0
15,1,770,4540,4550,6310,180.0
16,1,750,4540,4560,6300,196.0
17,1,740,4550,4560,6300,204.0
18,1,740,4550,4550,6300,208.0
19,1,740,4550,4570,6300,220.0
20,1,740,4550,4570,6310,228.0
21,1,750,4550,4570,6300,236.0
22,1,770,4540,4560,6300,244.0
23,1,760,4540,4560,6300,248.0
24,1,760,4550,4570,6290,260.0
25,1,770,4550,4560,6290,268.0
26,1,770,4550,4550,6290,288.0
27,1,780,4550,4550,6290,292.0
28,1,760,4540,4550,6290,324.0
29,1,760,4550,4550,6290,340.0
30,1,750,4540,4560,6280,344.0
31,1,750,4540,4560,6290,348.0
32,1,750,4550,4560,6290,352.0
33,1,750,4550,4550,6300,384.0
34,1,770,4540,4540,6300,424.0
35,1,770,4540,4540,6310,428.0
36,1,770,4540,4550,6300,452.0
37,1,750,4560,4550,6300,468.0
38,1,750,4550,4540,6290,472.0
39,1,750,4540,4550,6300,504.0
40,1,750,4540,4560,6310,508.0
41,1,760,4540,4560,6310,512.0
42,1,760,4540,4570,6310,516.0
43,1,770,4540,4570,6290,520.0
44,1,770,4540,4580,6290,524.0
45,1,770,4540,4580,6280,528.0
46,1,780,4540,4580,6280,532.0
47,1,770,4550,4600,6280,536.0
48,1,760,4550,4580,6290,540.0
49,1,760,4550,4570,6300,544.0
50,1,770,4550,4570,6310,576.0
51,1,760,4550,4580,6300,580.0
52,1,760,4550,4550,6310,636.0
53,1,780,4560,4560,6310,660.0
54,1,770,4560,4550,6310,664.0
55,1,770,4550,4540,6300,676.0
56,1,760,4550,4540,6300,680.0
57,1,760,4550,4540,6310,684.0
58,1,770,4540,4550,6290,712.0
59,1,770,4540,4550,6280,720.0
60,1,750,4550,4550,6290,740.0
61,1,770,4540,4540,6290,752.0
62,1,760,4540,4540,6290,756.0
63,1,770,4550,4540,6290,760.0
64,1,770,4550,4550,6280,836.0
65,1,750,4550,4550,6280,840.0
66,1,750,4550,4550,6310,904.0
67,1,740,4550,4550,6310,948.0
68,1,760,4550,4540,6290,988.0
69,1,780,4550,4550,6310,1016.0
70,1,780,4540,4550,6310,1020.0
71,1,770,4550,4560,6280,1056.0
72,1,780,4550,4540,6290,1148.0
73,1,780,4550,4540,6300,1152.0
74,1,770,4560,4550,6300,1208.0
75,1,760,4560,4550,6300,1212.0
76,1,760,4560,4550,6310,1268.0
77,1,790,4550,4540,6310,1312.0
78,1,790,4550,4550,6310,1328.0
79,1,780,4550,4550,6280,1340.0
80,1,790,4550,4550,6280,1344.0
81,1,790,4550,4550,6290,1348.0
82,1,790,4550,4550,6300,1352.0
83,1,740,4550,4540,6300,1384.0
84,1,750,4550,4540,6310,1388.0
85,1,770,4550,4540,6310,1392.0
86,1,760,4550,4560,6310,1468.0
0,10,4580,6000,1290,3960,0.0
1,10,4600,6000,1300,3960,4.0
2,10,4600,6000,1290,3960,8.0
3,10,4580,6000,1290,3950,24.0
4,10,4580,6000,1300,3960,32.0
5,10,4580,6000,1300,3980,40.0
6,10,4570,6000,1310,3960,44.0
7,10,4580,6000,1310,3980,48.0
8,10,4580,6000,1320,3980,64.0
9,10,4570,5990,1310,3990,72.0
10,10,4580,5990,1320,3980,76.0
11,10,4580,5990,1320,3990,80.0
12,10,4570,5990,1310,3980,88.0
13,10,4580,5990,1310,3990,96.0
14,10,4580,5990,1300,3990,100.0
15,10,4570,5990,1300,3980,104.0
